,Label,tweet,Tokenization,Stop_Removal,Tweet_Stemmed
10,Positif,adik mahasiswa bergerak lagi ajak masyarakat demo april,"['adik', 'mahasiswa', 'bergerak', 'lagi', 'ajak', 'masyarakat', 'demo', 'april']","['adik', 'mahasiswa', 'bergerak', 'ajak', 'masyarakat', 'demo', 'april']","['adik', 'mahasiswa', 'gerak', 'ajak', 'masyarakat', 'demo', 'april']"
11,Netral,periode,['periode'],['periode'],['periode']
12,Negatif,bila perlu gandeng jokowi untuk pulang periode,"['bila', 'perlu', 'gandeng', 'jokowi', 'untuk', 'pulang', 'periode']","['gandeng', 'jokowi', 'pulang', 'periode']","['gandeng', 'jokowi', 'pulang', 'periode']"
13,Negatif,ar malas liat muka jokowi periode,"['ar', 'malas', 'liat', 'muka', 'jokowi', 'periode']","['ar', 'malas', 'liat', 'muka', 'jokowi', 'periode']","['ar', 'malas', 'liat', 'muka', 'jokowi', 'periode']"
14,Positif,maju terus mahasiswa rakyat bersamamu periode,"['maju', 'terus', 'mahasiswa', 'rakyat', 'bersamamu', 'periode']","['maju', 'mahasiswa', 'rakyat', 'bersamamu', 'periode']","['maju', 'mahasiswa', 'rakyat', 'sama', 'periode']"
15,Positif,asal jangan jafi aktivis nasi bungkus saja mahasiswa periode,"['asal', 'jangan', 'jafi', 'aktivis', 'nasi', 'bungkus', 'saja', 'mahasiswa', 'periode']","['jafi', 'aktivis', 'nasi', 'bungkus', 'mahasiswa', 'periode']","['jafi', 'aktivis', 'nasi', 'bungkus', 'mahasiswa', 'periode']"
16,Netral,selamat berbuka puasa sob kalau gak ada pisang jagung pun periode,"['selamat', 'berbuka', 'puasa', 'sob', 'kalau', 'gak', 'ada', 'pisang', 'jagung', 'pun', 'periode']","['selamat', 'berbuka', 'puasa', 'sob', 'gak', 'pisang', 'jagung', 'periode']","['selamat', 'buka', 'puasa', 'sob', 'gak', 'pisang', 'jagung', 'periode']"
17,Negatif,yang menerimanya aja gak jelas masa orang punya mobil masih dapat blt peluang korupsi kecil kecilan justru ada disini,"['yang', 'menerimanya', 'aja', 'gak', 'jelas', 'masa', 'orang', 'punya', 'mobil', 'masih', 'dapat', 'blt', 'peluang', 'korupsi', 'kecil', 'kecilan', 'justru', 'ada', 'disini']","['menerimanya', 'aja', 'gak', 'orang', 'mobil', 'blt', 'peluang', 'korupsi', 'kecilan']","['terima', 'aja', 'gak', 'orang', 'mobil', 'blt', 'peluang', 'korupsi', 'kecil']"
18,Negatif,dikuasi rakyat atau dikuasai china waspada jebakan hutang luar negeri periode didu silalahi berita mei,"['dikuasi', 'rakyat', 'atau', 'dikuasai', 'china', 'waspada', 'jebakan', 'hutang', 'luar', 'negeri', 'periode', 'didu', 'silalahi', 'berita', 'mei']","['dikuasi', 'rakyat', 'dikuasai', 'china', 'waspada', 'jebakan', 'hutang', 'negeri', 'periode', 'didu', 'silalahi', 'berita', 'mei']","['kuasi', 'rakyat', 'asai', 'china', 'waspada', 'jebak', 'hutang', 'negeri', 'periode', 'didu', 'silalahi', 'berita', 'mei']"
19,Netral,semangat puasanya lebaran nih mari tingkatkan amal perbanyak ibadah kencangkan sedekahnya,"['semangat', 'puasanya', 'lebaran', 'nih', 'mari', 'tingkatkan', 'amal', 'perbanyak', 'ibadah', 'kencangkan', 'sedekahnya']","['semangat', 'puasanya', 'lebaran', 'nih', 'mari', 'tingkatkan', 'amal', 'perbanyak', 'ibadah', 'kencangkan', 'sedekahnya']","['semangat', 'puasa', 'lebaran', 'nih', 'mari', 'tingkat', 'amal', 'banyak', 'ibadah', 'kencang', 'sedekah']"
20,Negatif,menteri segala urusan semua elu yang ngatur apa negeri ini todak memiliki pemimpin yang adil dan bijaksana bubarkan saja rezim ini periode,"['menteri', 'segala', 'urusan', 'semua', 'elu', 'yang', 'ngatur', 'apa', 'negeri', 'ini', 'todak', 'memiliki', 'pemimpin', 'yang', 'adil', 'dan', 'bijaksana', 'bubarkan', 'saja', 'rezim', 'ini', 'periode']","['menteri', 'urusan', 'elu', 'ngatur', 'negeri', 'todak', 'memiliki', 'pemimpin', 'adil', 'bijaksana', 'bubarkan', 'rezim', 'periode']","['menteri', 'urus', 'elu', 'ngatur', 'negeri', 'todak', 'milik', 'pimpin', 'adil', 'bijaksana', 'bubar', 'rezim', 'periode']"
21,Netral,,[''],[''],['']
22,Netral,,[''],[''],['']
23,Negatif,apabila terjadi atau lolos amandemen tentang periode jelas mereka itu pengkhianat rakyat ingat semua ada pertanggung jawabannya ada dharma dan karma periode,"['apabila', 'terjadi', 'atau', 'lolos', 'amandemen', 'tentang', 'periode', 'jelas', 'mereka', 'itu', 'pengkhianat', 'rakyat', 'ingat', 'semua', 'ada', 'pertanggung', 'jawabannya', 'ada', 'dharma', 'dan', 'karma', 'periode']","['lolos', 'amandemen', 'periode', 'pengkhianat', 'rakyat', 'pertanggung', 'jawabannya', 'dharma', 'karma', 'periode']","['lolos', 'amandemen', 'periode', 'khianat', 'rakyat', 'tanggung', 'jawab', 'dharma', 'karma', 'periode']"
24,Positif,uny ikutan bang ahhh yukk gaspolll periode,"['uny', 'ikutan', 'bang', 'ahhh', 'yukk', 'gaspolll', 'periode']","['uny', 'ikutan', 'bang', 'ahhh', 'yukk', 'gaspolll', 'periode']","['uny', 'ikut', 'bang', 'ahhh', 'yukk', 'gaspolll', 'periode']"
25,Positif,ketika dilakukan perpanjangan masa jabatan presiden pasti merugikan demokrasi sebab konstitusi kita hari ini adalah amanah rakyat jangan pernah khianati amanah itu,"['ketika', 'dilakukan', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'pasti', 'merugikan', 'demokrasi', 'sebab', 'konstitusi', 'kita', 'hari', 'ini', 'adalah', 'amanah', 'rakyat', 'jangan', 'pernah', 'khianati', 'amanah', 'itu']","['perpanjangan', 'jabatan', 'presiden', 'merugikan', 'demokrasi', 'konstitusi', 'amanah', 'rakyat', 'khianati', 'amanah']","['panjang', 'jabat', 'presiden', 'rugi', 'demokrasi', 'konstitusi', 'amanah', 'rakyat', 'khianat', 'amanah']"
26,Negatif,mau bangun fasilitas istana rakyat disuruh donasi kembali spt jaman kerajaan baheula rakyat sbg objek disuruh bangun istana,"['mau', 'bangun', 'fasilitas', 'istana', 'rakyat', 'disuruh', 'donasi', 'kembali', 'spt', 'jaman', 'kerajaan', 'baheula', 'rakyat', 'sbg', 'objek', 'disuruh', 'bangun', 'istana']","['bangun', 'fasilitas', 'istana', 'rakyat', 'disuruh', 'donasi', 'spt', 'jaman', 'kerajaan', 'baheula', 'rakyat', 'sbg', 'objek', 'disuruh', 'bangun', 'istana']","['bangun', 'fasilitas', 'istana', 'rakyat', 'suruh', 'donasi', 'spt', 'jaman', 'raja', 'baheula', 'rakyat', 'sbg', 'objek', 'suruh', 'bangun', 'istana']"
27,Netral,,[''],[''],['']
28,Negatif,lah iki pie maszee brarti acara kemarin datengin pak presiden abal dong apdesi ada trnyata aspal alias bodong wkwkwkwk periodendasmu periode,"['lah', 'iki', 'pie', 'maszee', 'brarti', 'acara', 'kemarin', 'datengin', 'pak', 'presiden', 'abal', 'dong', 'apdesi', 'ada', 'trnyata', 'aspal', 'alias', 'bodong', 'wkwkwkwk', 'periodendasmu', 'periode']","['iki', 'pie', 'maszee', 'brarti', 'acara', 'kemarin', 'datengin', 'presiden', 'abal', 'apdesi', 'trnyata', 'aspal', 'alias', 'bodong', 'wkwkwkwk', 'periodendasmu', 'periode']","['iki', 'pie', 'maszee', 'brarti', 'acara', 'kemarin', 'datengin', 'presiden', 'abal', 'apdesi', 'trnyata', 'aspal', 'alias', 'bodong', 'wkwkwkwk', 'periodendasmu', 'periode']"
29,Negatif,fir aun junior periode,"['fir', 'aun', 'junior', 'periode']","['fir', 'aun', 'junior', 'periode']","['fir', 'aun', 'junior', 'periode']"
30,Positif,temui lanyalla apdesi tolak periode jabatan presiden karena langgar konstitusi periode baca selengkapnya,"['temui', 'lanyalla', 'apdesi', 'tolak', 'periode', 'jabatan', 'presiden', 'karena', 'langgar', 'konstitusi', 'periode', 'baca', 'selengkapnya']","['temui', 'lanyalla', 'apdesi', 'tolak', 'periode', 'jabatan', 'presiden', 'langgar', 'konstitusi', 'periode', 'baca', 'selengkapnya']","['temu', 'lanyalla', 'apdesi', 'tolak', 'periode', 'jabat', 'presiden', 'langgar', 'konstitusi', 'periode', 'baca', 'lengkap']"
31,Negatif,negara lain presidennya itu manusia kalau negara ini presidennya boneka,"['negara', 'lain', 'presidennya', 'itu', 'manusia', 'kalau', 'negara', 'ini', 'presidennya', 'boneka']","['negara', 'presidennya', 'manusia', 'negara', 'presidennya', 'boneka']","['negara', 'presiden', 'manusia', 'negara', 'presiden', 'boneka']"
32,Netral,periode coba berkompeten beri analisa dari dari screen shot terlampir,"['periode', 'coba', 'berkompeten', 'beri', 'analisa', 'dari', 'dari', 'screen', 'shot', 'terlampir']","['periode', 'coba', 'berkompeten', 'analisa', 'screen', 'shot', 'terlampir']","['periode', 'coba', 'kompeten', 'analisa', 'screen', 'shot', 'lampir']"
33,Negatif,dipaksa untuk melawan konstitusi sekelas lembaga survey pun berani mengambil kesempatan demi sebuah ambisi hebat periode,"['dipaksa', 'untuk', 'melawan', 'konstitusi', 'sekelas', 'lembaga', 'survey', 'pun', 'berani', 'mengambil', 'kesempatan', 'demi', 'sebuah', 'ambisi', 'hebat', 'periode']","['dipaksa', 'melawan', 'konstitusi', 'sekelas', 'lembaga', 'survey', 'berani', 'mengambil', 'kesempatan', 'ambisi', 'hebat', 'periode']","['paksa', 'lawan', 'konstitusi', 'kelas', 'lembaga', 'survey', 'berani', 'ambil', 'sempat', 'ambisi', 'hebat', 'periode']"
34,Negatif,gitu masih dengan bangganya mau nangkring berkuasa hingga priode stop sudah cukup penderitaan rakyat hanya karena muka ndeso,"['gitu', 'masih', 'dengan', 'bangganya', 'mau', 'nangkring', 'berkuasa', 'hingga', 'priode', 'stop', 'sudah', 'cukup', 'penderitaan', 'rakyat', 'hanya', 'karena', 'muka', 'ndeso']","['gitu', 'bangganya', 'nangkring', 'berkuasa', 'priode', 'stop', 'penderitaan', 'rakyat', 'muka', 'ndeso']","['gitu', 'bangga', 'nangkring', 'kuasa', 'priode', 'stop', 'derita', 'rakyat', 'muka', 'ndeso']"
35,Netral,,[''],[''],['']
36,Netral,periode,['periode'],['periode'],['periode']
37,Negatif,sudah imsak periode,"['sudah', 'imsak', 'periode']","['imsak', 'periode']","['imsak', 'periode']"
38,Netral,periode,['periode'],['periode'],['periode']
39,Negatif,jelang imsak periode,"['jelang', 'imsak', 'periode']","['jelang', 'imsak', 'periode']","['jelang', 'imsak', 'periode']"
40,Negatif,didu official pasti dan perjuangan benci sekali sama orang ini periode,"['didu', 'official', 'pasti', 'dan', 'perjuangan', 'benci', 'sekali', 'sama', 'orang', 'ini', 'periode']","['didu', 'official', 'perjuangan', 'benci', 'orang', 'periode']","['didu', 'official', 'juang', 'benci', 'orang', 'periode']"
41,Negatif,setelah melihat banyaknya permintaan jokowi mundur dari berbagai elemen masyarakat maka wacana tiga periode sepertinya hanya mimpi bagi mereka saat ini sedang bermanuver,"['setelah', 'melihat', 'banyaknya', 'permintaan', 'jokowi', 'mundur', 'dari', 'berbagai', 'elemen', 'masyarakat', 'maka', 'wacana', 'tiga', 'periode', 'sepertinya', 'hanya', 'mimpi', 'bagi', 'mereka', 'saat', 'ini', 'sedang', 'bermanuver']","['banyaknya', 'permintaan', 'jokowi', 'mundur', 'elemen', 'masyarakat', 'wacana', 'periode', 'mimpi', 'bermanuver']","['banyak', 'minta', 'jokowi', 'mundur', 'elemen', 'masyarakat', 'wacana', 'periode', 'mimpi', 'manuver']"
42,Negatif,big data kecenderungan ketidaksukaan terhadap deklarasi jokowi periode cenderung naik periode,"['big', 'data', 'kecenderungan', 'ketidaksukaan', 'terhadap', 'deklarasi', 'jokowi', 'periode', 'cenderung', 'naik', 'periode']","['big', 'data', 'kecenderungan', 'ketidaksukaan', 'deklarasi', 'jokowi', 'periode', 'cenderung', 'periode']","['big', 'data', 'cenderung', 'ketidaksukaan', 'deklarasi', 'jokowi', 'periode', 'cenderung', 'periode']"
43,Negatif,penjilat penjilat kekuasaan pak periode,"['penjilat', 'penjilat', 'kekuasaan', 'pak', 'periode']","['penjilat', 'penjilat', 'kekuasaan', 'periode']","['jilat', 'jilat', 'kuasa', 'periode']"
44,Negatif,negara kalah oleh sekelas mafia migor periode,"['negara', 'kalah', 'oleh', 'sekelas', 'mafia', 'migor', 'periode']","['negara', 'kalah', 'sekelas', 'mafia', 'migor', 'periode']","['negara', 'kalah', 'kelas', 'mafia', 'migor', 'periode']"
45,Netral,sambil ngopi periode,"['sambil', 'ngopi', 'periode']","['ngopi', 'periode']","['ngopi', 'periode']"
46,Negatif,mainkan jemarimu periode,"['mainkan', 'jemarimu', 'periode']","['mainkan', 'jemarimu', 'periode']","['main', 'jemari', 'periode']"
47,Negatif,asik kembali seharusnya periode,"['asik', 'kembali', 'seharusnya', 'periode']","['asik', 'periode']","['asik', 'periode']"
48,Netral,alhamdulillah barusan juga shafnya rapat dan mesjid juga penuh periode,"['alhamdulillah', 'barusan', 'juga', 'shafnya', 'rapat', 'dan', 'mesjid', 'juga', 'penuh', 'periode']","['alhamdulillah', 'barusan', 'shafnya', 'rapat', 'mesjid', 'penuh', 'periode']","['alhamdulillah', 'barusan', 'shafnya', 'rapat', 'mesjid', 'penuh', 'periode']"
49,Netral,lanyalla menyebut jika skor potensi kemarahan publik ini terus meningkat tidak tertutup kemungkinan aksi turun jalan akan meluas periode,"['lanyalla', 'menyebut', 'jika', 'skor', 'potensi', 'kemarahan', 'publik', 'ini', 'terus', 'meningkat', 'tidak', 'tertutup', 'kemungkinan', 'aksi', 'turun', 'jalan', 'akan', 'meluas', 'periode']","['lanyalla', 'menyebut', 'skor', 'potensi', 'kemarahan', 'publik', 'meningkat', 'tertutup', 'aksi', 'turun', 'jalan', 'meluas', 'periode']","['lanyalla', 'sebut', 'skor', 'potensi', 'marah', 'publik', 'tingkat', 'tutup', 'aksi', 'turun', 'jalan', 'luas', 'periode']"
50,Negatif,juga menyampaikan bahwa ada potensi peningkatan kemarahan publik soal deklarasi jokowi periode periode,"['juga', 'menyampaikan', 'bahwa', 'ada', 'potensi', 'peningkatan', 'kemarahan', 'publik', 'soal', 'deklarasi', 'jokowi', 'periode', 'periode']","['potensi', 'peningkatan', 'kemarahan', 'publik', 'deklarasi', 'jokowi', 'periode', 'periode']","['potensi', 'tingkat', 'marah', 'publik', 'deklarasi', 'jokowi', 'periode', 'periode']"
51,Negatif,lanyalla juga mengingatkan berdasarkan analisa big data yang dimiliki kecenderungan masyarakat senang dengan deklarasi jokowi periode turun dari menjadi periode,"['lanyalla', 'juga', 'mengingatkan', 'berdasarkan', 'analisa', 'big', 'data', 'yang', 'dimiliki', 'kecenderungan', 'masyarakat', 'senang', 'dengan', 'deklarasi', 'jokowi', 'periode', 'turun', 'dari', 'menjadi', 'periode']","['lanyalla', 'berdasarkan', 'analisa', 'big', 'data', 'dimiliki', 'kecenderungan', 'masyarakat', 'senang', 'deklarasi', 'jokowi', 'periode', 'turun', 'periode']","['lanyalla', 'dasar', 'analisa', 'big', 'data', 'milik', 'cenderung', 'masyarakat', 'senang', 'deklarasi', 'jokowi', 'periode', 'turun', 'periode']"
52,Negatif,ingatkan luhut lanyalla penundaan pemilu dan presiden periode akan picu kemarahan publik periode,"['ingatkan', 'luhut', 'lanyalla', 'penundaan', 'pemilu', 'dan', 'presiden', 'periode', 'akan', 'picu', 'kemarahan', 'publik', 'periode']","['ingatkan', 'luhut', 'lanyalla', 'penundaan', 'pemilu', 'presiden', 'periode', 'picu', 'kemarahan', 'publik', 'periode']","['ingat', 'luhut', 'lanyalla', 'tunda', 'milu', 'presiden', 'periode', 'picu', 'marah', 'publik', 'periode']"
53,Positif,nah ini baru mhsiswa peduli bangsa dan negara ayo maju terus dan bergerak lawan kezholiman dan sewenang periode si si id,"['nah', 'ini', 'baru', 'mhsiswa', 'peduli', 'bangsa', 'dan', 'negara', 'ayo', 'maju', 'terus', 'dan', 'bergerak', 'lawan', 'kezholiman', 'dan', 'sewenang', 'periode', 'si', 'si', 'id']","['mhsiswa', 'peduli', 'bangsa', 'negara', 'ayo', 'maju', 'bergerak', 'lawan', 'kezholiman', 'sewenang', 'periode', 'si', 'si', 'id']","['mhsiswa', 'peduli', 'bangsa', 'negara', 'ayo', 'maju', 'gerak', 'lawan', 'kezholiman', 'wenang', 'periode', 'si', 'si', 'id']"
54,Netral,alhamdulillah dimasjid istiqlal shaf sdh rapat mesjid disini juga sdh rapat rapatkan barisan periode,"['alhamdulillah', 'dimasjid', 'istiqlal', 'shaf', 'sdh', 'rapat', 'mesjid', 'disini', 'juga', 'sdh', 'rapat', 'rapatkan', 'barisan', 'periode']","['alhamdulillah', 'dimasjid', 'istiqlal', 'shaf', 'sdh', 'rapat', 'mesjid', 'sdh', 'rapat', 'rapatkan', 'barisan', 'periode']","['alhamdulillah', 'masjid', 'istiqlal', 'shaf', 'sdh', 'rapat', 'mesjid', 'sdh', 'rapat', 'rapat', 'baris', 'periode']"
55,Positif,bila terus gembar gembor kan bisa jadi pertumpahan akan terjadi jangan karena arogansi sejarah tragis akan terulang kembali periode,"['bila', 'terus', 'gembar', 'gembor', 'kan', 'bisa', 'jadi', 'pertumpahan', 'akan', 'terjadi', 'jangan', 'karena', 'arogansi', 'sejarah', 'tragis', 'akan', 'terulang', 'kembali', 'periode']","['gembar', 'gembor', 'pertumpahan', 'arogansi', 'sejarah', 'tragis', 'terulang', 'periode']","['gembar', 'gembor', 'tumpah', 'arogansi', 'sejarah', 'tragis', 'ulang', 'periode']"
56,Netral,,[''],[''],['']
57,Negatif,opung jangan ribut ini suara daerah tanpa rekayasa periode,"['opung', 'jangan', 'ribut', 'ini', 'suara', 'daerah', 'tanpa', 'rekayasa', 'periode']","['opung', 'ribut', 'suara', 'daerah', 'rekayasa', 'periode']","['opung', 'ribut', 'suara', 'daerah', 'rekayasa', 'periode']"
58,Negatif,cup keknya lagi mikirin tunda pemilu tapi rakyat karena melanggar konstitusi apalagi suara parpol ri serentak mau periode periode aja gagal,"['cup', 'keknya', 'lagi', 'mikirin', 'tunda', 'pemilu', 'tapi', 'rakyat', 'karena', 'melanggar', 'konstitusi', 'apalagi', 'suara', 'parpol', 'ri', 'serentak', 'mau', 'periode', 'periode', 'aja', 'gagal']","['cup', 'keknya', 'mikirin', 'tunda', 'pemilu', 'rakyat', 'melanggar', 'konstitusi', 'suara', 'parpol', 'ri', 'serentak', 'periode', 'periode', 'aja', 'gagal']","['cup', 'kek', 'mikirin', 'tunda', 'milu', 'rakyat', 'langgar', 'konstitusi', 'suara', 'parpol', 'ri', 'serentak', 'periode', 'periode', 'aja', 'gagal']"
59,Negatif,periode periodendasmu,"['periode', 'periodendasmu']","['periode', 'periodendasmu']","['periode', 'periodendasmu']"
60,Netral,periode,['periode'],['periode'],['periode']
61,Negatif,banturetweet saudaraku terima kasih gantian periode,"['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode']","['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode']","['banturetweet', 'saudara', 'terima', 'kasih', 'ganti', 'periode']"
62,Netral,pi periode,"['pi', 'periode']","['pi', 'periode']","['pi', 'periode']"
63,Netral,periode,['periode'],['periode'],['periode']
64,Positif,banturetweet saudaraku terima kasih gantian periode,"['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode']","['banturetweet', 'saudaraku', 'terima', 'kasih', 'gantian', 'periode']","['banturetweet', 'saudara', 'terima', 'kasih', 'ganti', 'periode']"
65,Negatif,pasti mereka akan bilang utang ini sebagai warisan dari pendahulunya tetapi seluruh jalan toll indonesia baru mulai dibangun pada periode pertama lanjut periode kedua dan agar tuntas perlu tambahan satu periode lagi periode,"['pasti', 'mereka', 'akan', 'bilang', 'utang', 'ini', 'sebagai', 'warisan', 'dari', 'pendahulunya', 'tetapi', 'seluruh', 'jalan', 'toll', 'indonesia', 'baru', 'mulai', 'dibangun', 'pada', 'periode', 'pertama', 'lanjut', 'periode', 'kedua', 'dan', 'agar', 'tuntas', 'perlu', 'tambahan', 'satu', 'periode', 'lagi', 'periode']","['bilang', 'utang', 'warisan', 'pendahulunya', 'jalan', 'toll', 'indonesia', 'dibangun', 'periode', 'periode', 'tuntas', 'tambahan', 'periode', 'periode']","['bilang', 'utang', 'waris', 'dahulu', 'jalan', 'toll', 'indonesia', 'bangun', 'periode', 'periode', 'tuntas', 'tambah', 'periode', 'periode']"
66,Positif,saya biasanya bersebrangan dengan bung ardian napitupulu dalam banyak hal tapi dalam hal ini saya setuju dgn dia periode,"['saya', 'biasanya', 'bersebrangan', 'dengan', 'bung', 'ardian', 'napitupulu', 'dalam', 'banyak', 'hal', 'tapi', 'dalam', 'hal', 'ini', 'saya', 'setuju', 'dgn', 'dia', 'periode']","['bersebrangan', 'ardian', 'napitupulu', 'setuju', 'dgn', 'periode']","['bersebrangan', 'ardi', 'napitupulu', 'tuju', 'dgn', 'periode']"
67,Positif,aliansi mahasiswa indonesia menuntut presiden joko widodo mengeluarkan pernyataan secara resmi menolak penundaan pemilu dan perpanjangan masa jabatan presiden paling lambat hari ini april periode,"['aliansi', 'mahasiswa', 'indonesia', 'menuntut', 'presiden', 'joko', 'widodo', 'mengeluarkan', 'pernyataan', 'secara', 'resmi', 'menolak', 'penundaan', 'pemilu', 'dan', 'perpanjangan', 'masa', 'jabatan', 'presiden', 'paling', 'lambat', 'hari', 'ini', 'april', 'periode']","['aliansi', 'mahasiswa', 'indonesia', 'menuntut', 'presiden', 'joko', 'widodo', 'mengeluarkan', 'pernyataan', 'resmi', 'menolak', 'penundaan', 'pemilu', 'perpanjangan', 'jabatan', 'presiden', 'lambat', 'april', 'periode']","['aliansi', 'mahasiswa', 'indonesia', 'tuntut', 'presiden', 'joko', 'widodo', 'keluar', 'nyata', 'resmi', 'tolak', 'tunda', 'milu', 'panjang', 'jabat', 'presiden', 'lambat', 'april', 'periode']"
68,Netral,,[''],[''],['']
69,Negatif,setuju bahwa demokrasi itu bukan hanya maunya dia apalagi sampai ngarang ngarang untuk melanggengkan kekuasaan periode,"['setuju', 'bahwa', 'demokrasi', 'itu', 'bukan', 'hanya', 'maunya', 'dia', 'apalagi', 'sampai', 'ngarang', 'ngarang', 'untuk', 'melanggengkan', 'kekuasaan', 'periode']","['setuju', 'demokrasi', 'maunya', 'ngarang', 'ngarang', 'melanggengkan', 'kekuasaan', 'periode']","['tuju', 'demokrasi', 'mau', 'ngarang', 'ngarang', 'langgeng', 'kuasa', 'periode']"
